Date,Price,Open,High,Low,Vol.,Change %,Spread
2017-01-25,1.3205,1.3194,1.331,1.3157,,0.12%,0.007558398481668881
2017-01-24,1.3189,1.3189,1.3245,1.3139,,0.02%,0.0027738297261466175
2017-01-23,1.3187,1.3224,1.3261,1.3175,,-0.37%,0.002647411460519925
2017-01-20,1.3236,1.3227,1.3305,1.3175,,0.08%,0.004731914725291744
2017-01-19,1.3225,1.3329,1.335,1.3202,,-0.74%,0.004008274179909246
2017-01-18,1.3323,1.3213,1.3331,1.321,,0.81%,0.00785568183698486
2017-01-17,1.3216,1.3375,1.3396,1.3202,,-1.18%,0.006313566253449953
2017-01-16,1.3374,1.3343,1.3412,1.3313,,0.33%,0.001400002463672622
2017-01-13,1.333,1.3365,1.3429,1.3316,,-0.25%,0.006186766632543514
2017-01-12,1.3363,1.3444,1.3464,1.33,,-0.57%,0.006351463277736724
2017-01-11,1.3439,1.3571,1.3602,1.3378,,-0.97%,0.0
2017-01-10,1.357,1.3599,1.3639,1.3535,,-0.21%,0.0
2017-01-09,1.3599,1.3711,1.3726,1.3557,,-0.75%,0.0013273490001247815
2017-01-06,1.3702,1.3634,1.3733,1.3599,,0.52%,0.007003587540900407
2017-01-05,1.3631,1.3732,1.3754,1.359,,-0.71%,0.008444112556458572
2017-01-04,1.3728,1.3856,1.3869,1.3721,,-0.81%,0.0
2017-01-03,1.384,1.3913,1.3927,1.3804,,-0.55%,0.0
2017-01-02,1.3917,1.3833,1.3964,1.3821,,0.43%,0.004983834784514764
2016-12-30,1.3858,1.3845,1.387,1.3791,,0.03%,0.0
2016-12-29,1.3854,1.3939,1.3958,1.3843,,-0.57%,0.0
2016-12-28,1.3933,1.3924,1.3963,1.3843,,0.12%,0.008026311321268522
2016-12-27,1.3916,1.3903,1.3945,1.3889,,0.04%,0.002153171352858408
2016-12-26,1.391,1.3932,1.3973,1.3832,,-0.09%,0.0018566928013610715
2016-12-23,1.3923,1.3855,1.397,1.3831,,0.48%,0.009725252930157543
2016-12-22,1.3856,1.382,1.3899,1.3774,,0.29%,0.0
